,Unnamed: 0.1,Unnamed: 0,business,Count
0,0,0,وكالات العقارات والأنشطة ذات الصلة,87
1,1,1,محلات صيانة السيارات - سمكرة وكهرباء وميكانيكا,86
2,2,2,المغاسل وخدمات التنظيف الجاف,58
3,3,3,الشقق المفروشة والأجنحة الفندقية,35
4,4,4,محلات الحلاقة وصالونات التجميل,35
5,5,5,محلات صيانة وإصلاح أجهزة التبريد والتكييف,21
6,6,6,مؤسسات التجارة العامة والمقاولات,21
7,7,7,مؤسسات التجارة والمقاولات,21
8,8,8,محلات البنشر,16
9,9,9,مغاسل السيارات,13
10,10,10,المكاتب الإدارية للمصانع والشركات الخاصة,11
11,11,11,التخزين في الأماكن المسقوفة,9
12,12,12,التخزين في الأماكن المكشوفة,9
13,13,13,أعمال المقاولات المتخصصة الأخرى,8
14,14,14,محلات تغيير الزيوت والتشحيم,8
15,15,15,المكاتب الإدارية العامة,4
16,16,16,خدمات إصلاح وصيانة السيارات الأخرى,3
17,17,17,محلات مستلزمات الحفلات والرحلات,3
18,18,18,أعمال التجارة والمقاولات الأخرى,2
19,19,19,خدمات الصيانة والإصلاح الأخرى,2
20,20,20,وكالات السفر,2
21,21,21,محلات إصلاح التلفزيونات والراديوهات,1
22,22,22,البنوك,1
23,23,23,الفنادق,1
24,24,24,استديوهات التصوير,1
25,25,25,ورش تصنيع الأبواب والنوافذ - حديد,1
26,26,26,محلات الخطاطين,1
27,27,27,محلات نسخ وتصوير المستندات,1
28,28,28,محلات إصلاح المعدات الكهربائية,1
29,29,29,ورش تصنيع الأبواب والنوافذ - خشب,1
30,30,30,خدمات النظافة,1
31,31,31,مكاتب التوظيف والاستقدام,1
32,32,32,الخدمات المهنية الأخرى,0
33,33,33,المسالخ,0
34,34,34,المكاتب الهندسية والمعمارية,0
35,35,35,الخدمات المالية - تأمين وعقارات أخرى,0
36,36,36,محلات الصيرفة وسمسرة أسواق النقد,0
37,37,37,استراحات المسافرين,0
38,38,38,الفلل المفروشة,0
39,39,39,مكاتب الترجمة,0
40,40,40,محلات إصلاح الأحذية,0
41,41,41,مكاتب الاستشارات الاقتصادية,0
42,42,42,محلات تقييف الملابس,0
43,43,43,الخدمات الشخصية الأخرى,0
44,44,44,مرافق التخزين الأخرى,0
45,45,45,مؤسسات ووكالات الإعلان العامة,0
46,46,46,خدمات الأعمال الأخرى,0
47,47,47,الخدمات الإعلانية والأنشطة ذات الصلة,0
48,48,48,خدمات العملاء وتقارير الأعمال,0
49,49,49,محلات طباعة الكروت,0
50,50,50,ورش تصنيع الأبواب والنوافذ - ألمونيوم,0
51,51,51,خدمات مكافحة الحشرات,0
52,52,52,أنواع مختلفة من خدمات المباني,0
53,53,53,المكاتب القانونية,0
54,54,54,خدمات المنازل والعمائر العامة,0
55,55,55,المكاتب المحاسبية,0
56,56,56,مؤسسات الخدمات الأمنية والحراسات,0
57,57,57,ساحات التخزين,0
58,58,58,أعمال التسقيف والصفائح المعدنية,0
59,59,59,التخزين المبرد,0
60,60,60,البقالات المحلية,65
61,61,61,مطاعم محلية - بوفيه,55
62,62,62,المقاهي,46
63,63,63,مطاعم الوجبات السريعة,36
64,64,64,محلات أجهزة التسخين والتكييف ومعدات السباكة,25
65,65,65,مطاعم المأكولات الشعبية,24
66,66,66,محلات بيع الخضروات والفواكه,21
67,67,67,محطات البنزين,18
68,68,68,الصيدليات,15
69,69,69,الأسواق الصغيرة,12
70,70,70,المشاغل النسائية,10
71,71,71,محلات الراديوهات والتلفزيونات,8
72,72,72,أفران الخبز البلدي,8
73,73,73,محلات الخياطة الرجالية,8
74,74,74,محلات بيع مستلزمات الخياطة,7
75,75,75,محلات بيع اللحوم والأسماك والطيور الداجنة,7
76,76,76,محلات اكسسوارات وزينة السيارات,7
77,77,77,محلات الحلويات والشوكولاتة,6
78,78,78,محلات العطارة والمحامص والمكسرات,6
79,79,79,محلات لعب الأطفال,6
80,80,80,المطاعم ذات الخدمات الشاملة,5
81,81,81,محلات أطباق أجهزة الاستقبال الفضائي,5
82,82,82,السوبر ماركت,5
83,83,83,محلات الملابس الرجالية الجاهزة,5
84,84,84,محلات أجهزة وبرامج الحاسب الآلي,4
85,85,85,محلات بيع مواد البناء والمواد الزراعية الأخرى بالتجزئة,4
86,86,86,محلات النجارة,4
87,87,87,محلات لوازم السيارات,4
88,88,88,المجمعات التجارية,4
89,89,89,محلات الأطلية والزجاج وورق الحائط,3
90,90,90,محلات قطع المفاتيح,3
91,91,91,محلات الهواتف الجوالة,3
92,92,92,محلات الأحذية,3
93,93,93,محلات الكتب والقرطاسية واللوازم المكتبية,2
94,94,94,محلات بيع الزجاج بالتجزئة,2
95,95,95,محلات النظارات,2
96,96,96,المخابز,2
97,97,97,محلات البيع بالتجزئة الأخرى,2
98,98,98,محلات المنتجات الكهربائية والمواد ذات الصلة,1
99,99,99,محلات الملابس الأخرى,1
100,100,100,المطاعم والأنشطة الأخرى ذات الصلة,1
101,101,101,محلات كل شيء بـ 2، 5، 10 ريال,1
102,102,102,محلات تغليف الهدايا,1
103,103,103,محلات البقالات الأخرى,1
104,104,104,محلات الآيس كريم,1
105,105,105,محلات بيع العود والعسل,1
106,106,106,محلات الأدوات الرياضية,1
107,107,107,محلات الملابس النسائية الجاهزة,1
108,108,108,محلات العطور والبخور,1
109,109,109,محلات الموكيت والسجاد وبلاط الأرضيات,0
110,110,110,محلات الأثاث والتجهيزات المنزلية الأخرى,0
111,111,111,محلات البشوت,0
112,112,112,أنواع أخرى من تجارة الوقود,0
113,113,113,محلات بيع الآلات غير الكهربائية بالجملة,0
114,114,114,محلات بيع المنتجات الكهربائية بالجملة,0
115,115,115,محلات بيع منتجات السباكة والتكييف بالجملة,0
116,116,116,محلات بيع المنتجات الزراعية الخام بالجملة,0
117,117,117,محلات بيع المواد الغذائية والمواد ذات الصلة بالجملة,0
118,118,118,محلات بيع الملابس والبضائع الجافة بالجملة,0
119,119,119,محلات بيع السلع الأخرى بالجملة,0
120,120,120,محلات الأثاث والتجهيزات الأخرى للبيع بالتجزئة,0
121,121,121,محلات الخشب المنشور والمواد الخشبية الأخرى,0
122,122,122,محلات الساعات,0
123,123,123,محلات الكاميرات ولوازم التصوير,0
