,business,Count
0,محلات البيع بالتجزئة الأخرى,414
1,البقالات المحلية,147
2,محلات بيع المنتجات الزراعية الخام بالجملة,97
3,مطاعم محلية - بوفيه,74
4,محلات الخياطة الرجالية,59
5,محلات بيع الخضروات والفواكه,50
6,المشاغل النسائية,50
7,الأسواق الصغيرة,48
8,مطاعم الوجبات السريعة,46
9,محلات أجهزة التسخين والتكييف ومعدات السباكة,44
10,محطات البنزين,43
11,محلات بيع اللحوم والأسماك والطيور الداجنة,41
12,الصيدليات,39
13,محلات بيع مواد البناء والمواد الزراعية الأخرى بالتجزئة,35
14,محلات الخياطة النسائية - عمالة ذكور,33
15,محلات الحلويات والشوكولاتة,25
16,محلات الهواتف الجوالة,25
17,محلات العطارة والمحامص والمكسرات,23
18,محلات الأطلية والزجاج وورق الحائط,21
19,المطاعم والأنشطة الأخرى ذات الصلة,21
20,محلات أجهزة وبرامج الحاسب الآلي,19
21,مطاعم المأكولات الشعبية,19
22,أفران الخبز البلدي,19
23,محلات الأدوات الرياضية,19
24,محلات اكسسوارات وزينة السيارات,17
25,محلات الملابس الأخرى,16
26,محلات الملابس الرجالية الجاهزة,16
27,محلات الكتب والقرطاسية واللوازم المكتبية,15
28,المقاهي,15
29,محلات العطور والبخور,15
30,محلات المواد الغذائية الأخرى,14
31,محلات لوازم السيارات,14
32,محلات النظارات,13
33,محلات الأحذية,13
34,محلات تغليف الهدايا,12
35,محلات أطباق أجهزة الاستقبال الفضائي,11
36,محلات الخزف الصيني والأواني المنزلية,11
37,محلات المنتجات الكهربائية والمواد ذات الصلة,10
38,محلات بيع المواد الغذائية والمواد ذات الصلة بالجملة,9
39,محلات قطع المفاتيح,9
40,محلات لعب الأطفال,9
41,محلات كل شيء بـ 2، 5، 10 ريال,6
42,محلات الخشب المنشور والمواد الخشبية الأخرى,5
43,السوبر ماركت,5
44,الطواحين,5
45,محلات البضائع العامة الأخرى,4
46,محلات العبايات,4
47,محلات الآيس كريم,4
48,المخابز,4
49,محلات الراديوهات والتلفزيونات,3
50,محلات المعدات الطبية ومعدات طب الأسنان,3
51,محلات الذهب والمجوهرات,3
52,محلات بيع غاز الطبخ,3
53,محلات الملابس النسائية الجاهزة,3
54,محلات الموكيت والسجاد وبلاط الأرضيات,2
55,محلات الأثاث والتجهيزات المنزلية الأخرى,2
56,المطاعم ذات الخدمات الشاملة,2
57,محلات بيع السلع الأخرى بالجملة,2
58,محلات الستائر وأغطية الأثاث,2
59,محلات نباتات الزينة والزهور,2
60,محلات ملابس الأطفال الجاهزة,2
61,محلات بيع منتجات السباكة والتكييف بالجملة,1
62,محلات الكاميرات ولوازم التصوير,1
63,محلات بيع الزجاج بالتجزئة,1
64,محلات المعدات والمستلزمات المكتبية ما عدا الأثاث المكتبي,1
65,محلات بيع التحف والأشياء المستعملة,1
