,business,Count
0,البقالات المحلية,17
1,مطاعم محلية - بوفيه,14
2,محلات أجهزة التسخين والتكييف ومعدات السباكة,13
3,المقاهي,12
4,مطاعم الوجبات السريعة,11
5,محلات الكتب والقرطاسية واللوازم المكتبية,9
6,الصيدليات,6
7,مطاعم المأكولات الشعبية,6
8,محلات بيع الخضروات والفواكه,5
9,الأسواق الصغيرة,4
10,أفران الخبز البلدي,4
11,محطات البنزين,4
12,المطاعم ذات الخدمات الشاملة,3
13,محلات العطارة والمحامص والمكسرات,3
14,محلات الأطلية والزجاج وورق الحائط,2
15,محلات الحلويات والشوكولاتة,2
16,محلات الهواتف الجوالة,2
17,المشاغل النسائية,2
18,محلات أجهزة وبرامج الحاسب الآلي,1
19,محلات المنتجات الكهربائية والمواد ذات الصلة,1
20,محلات كل شيء بـ 2، 5، 10 ريال,1
21,محلات بيع اللحوم والأسماك والطيور الداجنة,1
22,المخابز,1
23,محلات لوازم السيارات,1
24,محلات اكسسوارات وزينة السيارات,1
25,محلات لعب الأطفال,1
26,محلات الخياطة الرجالية,1
27,محلات البيع بالتجزئة الأخرى,1
28,محلات الخياطة النسائية - عمالة ذكور,1
29,محلات الموكيت والسجاد وبلاط الأرضيات,0
30,محلات الأثاث والتجهيزات المنزلية الأخرى,0
31,محلات البشوت,0
32,أنواع أخرى من تجارة الوقود,0
33,محلات بيع الآلات غير الكهربائية بالجملة,0
34,محلات بيع المنتجات الكهربائية بالجملة,0
35,محلات بيع منتجات السباكة والتكييف بالجملة,0
36,محلات بيع المنتجات الزراعية الخام بالجملة,0
37,محلات بيع المواد الغذائية والمواد ذات الصلة بالجملة,0
38,محلات بيع الملابس والبضائع الجافة بالجملة,0
39,محلات أطباق أجهزة الاستقبال الفضائي,0
40,محلات بيع السلع الأخرى بالجملة,0
41,محلات الأثاث والتجهيزات الأخرى للبيع بالتجزئة,0
42,محلات الخشب المنشور والمواد الخشبية الأخرى,0
43,محلات الساعات,0
44,محلات الكاميرات ولوازم التصوير,0
45,محلات بيع الزجاج بالتجزئة,0
46,محلات بيع الأدوية والكيماويات بالجملة,0
47,محلات الملابس الأخرى,0
48,محلات النجارة والخردوات,0
49,محلات الخزف الصيني والأواني المنزلية,0
50,محلات قطع المفاتيح,0
51,محلات الراديوهات والتلفزيونات,0
52,محلات المعدات الزراعية,0
53,محلات الأواني المنزلية البلاستيكية,0
54,محلات المعدات والمستلزمات المكتبية ما عدا الأثاث المكتبي,0
55,محلات الآلات غير الكهربائية والمعدات ذات الصلة,0
56,المطاعم والأنشطة الأخرى ذات الصلة,0
57,محلات بيع مواد البناء والمواد الزراعية الأخرى بالتجزئة,0
58,محلات بيع التحف والأشياء المستعملة,0
59,المتاجر المصنفة,0
60,محلات المعدات الزراعية ومعدات الحدائق,0
61,مخازن المنوعات,0
62,محلات المجوهرات الأخرى,0
63,محلات الشرائط والاسطوانات الصوتية,0
64,محلات البضائع العامة الأخرى,0
65,محلات النظارات,0
66,محلات تغليف الهدايا,0
67,محلات بيع مستلزمات الخياطة,0
68,السوبر ماركت,0
69,محلات العبايات,0
70,محلات البقالات الأخرى,0
71,محلات الأثاث المنزلي,0
72,محلات الستائر وأغطية الأثاث,0
73,محلات النجارة,0
74,محلات الأجهزة المنزلية,0
75,محلات الآيس كريم,0
76,محلات المعدات والآلات الموسيقية,0
77,محلات الأثاث والتجهيزات المكتبية,0
78,الطواحين,0
79,المطابخ,0
80,محلات المواد الغذائية الأخرى,0
81,محلات المعدات الطبية ومعدات طب الأسنان,0
82,محلات بيع السيارات,0
83,محلات بيع العود والعسل,0
84,محلات بيع الأثاث المستعمل,0
85,محلات الأدوات الرياضية,0
86,محلات الذهب والمجوهرات,0
87,خدمات السيارات الأخرى,0
88,محلات الفضيات,0
89,محلات الملابس الرجالية الجاهزة,0
90,محلات بيع غاز الطبخ,0
91,محلات الملابس النسائية الجاهزة,0
92,محلات نباتات الزينة والزهور,0
93,محلات ملابس الأطفال الجاهزة,0
94,محلات بيع شرائط الفيديو,0
95,محلات الأحذية,0
96,محلات العطور والبخور,0
97,المجمعات التجارية,0
98,محلات بيع السيارات ومعداتها بالجملة,0
99,الشقق المفروشة والأجنحة الفندقية,33
100,المغاسل وخدمات التنظيف الجاف,19
101,وكالات العقارات والأنشطة ذات الصلة,12
102,محلات الحلاقة وصالونات التجميل,7
103,محلات صيانة وإصلاح أجهزة التبريد والتكييف,6
104,مغاسل السيارات,5
105,محلات مستلزمات الحفلات والرحلات,4
106,محلات تغيير الزيوت والتشحيم,4
107,مؤسسات التجارة العامة والمقاولات,4
108,مؤسسات التجارة والمقاولات,4
109,محلات البنشر,3
110,التخزين في الأماكن المسقوفة,3
111,أعمال التجارة والمقاولات الأخرى,2
112,الفنادق,2
113,المكاتب الإدارية العامة,2
114,محلات صيانة السيارات - سمكرة وكهرباء وميكانيكا,2
115,المكاتب القانونية,2
116,الخدمات المهنية الأخرى,1
117,البنوك,1
118,خدمات الصيانة والإصلاح الأخرى,1
119,أعمال المقاولات المتخصصة الأخرى,1
120,محلات الخطاطين,1
121,محلات نسخ وتصوير المستندات,1
122,ورش تصنيع الأبواب والنوافذ - خشب,1
123,المكاتب المحاسبية,1
124,مؤسسات الخدمات الأمنية والحراسات,1
125,المسالخ,0
126,المكاتب الهندسية والمعمارية,0
127,محلات إصلاح التلفزيونات والراديوهات,0
128,الخدمات المالية - تأمين وعقارات أخرى,0
129,محلات الصيرفة وسمسرة أسواق النقد,0
130,استراحات المسافرين,0
131,الفلل المفروشة,0
132,مكاتب الترجمة,0
133,استديوهات التصوير,0
134,خدمات إصلاح وصيانة السيارات الأخرى,0
135,ورش تصنيع الأبواب والنوافذ - حديد,0
136,محلات إصلاح الأحذية,0
137,مكاتب الاستشارات الاقتصادية,0
138,محلات تقييف الملابس,0
139,الخدمات الشخصية الأخرى,0
140,مرافق التخزين الأخرى,0
141,مؤسسات ووكالات الإعلان العامة,0
142,خدمات الأعمال الأخرى,0
143,الخدمات الإعلانية والأنشطة ذات الصلة,0
144,خدمات العملاء وتقارير الأعمال,0
145,محلات إصلاح المعدات الكهربائية,0
146,محلات طباعة الكروت,0
147,خدمات النظافة,0
148,ورش تصنيع الأبواب والنوافذ - ألمونيوم,0
149,خدمات مكافحة الحشرات,0
150,أنواع مختلفة من خدمات المباني,0
151,خدمات المنازل والعمائر العامة,0
152,مكاتب التوظيف والاستقدام,0
153,ساحات التخزين,0
154,أعمال التسقيف والصفائح المعدنية,0
155,التخزين المبرد,0
156,التخزين في الأماكن المكشوفة,0
157,المكاتب الإدارية للمصانع والشركات الخاصة,0
158,وكالات السفر,0
159,المساجد المحلية,13
160,مساجد الجمع,8
161,مناطق الحجاج,0
162,مصليات العيد,0
163,خدمات التعليم الأخرى,3
164,رياض الأطفال والتمهيدي,2
165,الكليات والجامعات للبنين,1
166,المدارس الابتدائية الأخرى,1
167,المدارس الابتدائية الخاصة للبنين,1
168,مراكز التعليم المستمر,1
169,المدارس الخاصة الشاملة للبنين,1
170,الكليات والجامعات للبنات,1
171,المدارس العالمية,1
172,مدارس السفارات والجاليات,0
173,الكليات والجامعات الأخرى,0
174,المدارس الحكومية الشاملة للبنين,0
175,المدارس الخاصة الشاملة للبنات,0
176,مرافق المعاقين والتعليم الخاص,0
177,مدارس تحفيظ القرآن الثانوية للبنات,0
178,المدارس المتوسطة الحكومية للبنين,0
179,مدارس تحفيظ القرآن الابتدائية للبنين,0
180,مدارس تحفيظ القرآن الابتدائية للبنات,0
181,المدارس الابتدائية الخاصة للبنات,0
182,المدارس الابتدائية الحكومية للبنات,0
183,المدارس المتوسطة الحكومية للبنات,0
184,مدارس التدريب الخاص لقيادة السيارات,0
185,المدارس المتوسطة الخاصة للبنين,0
186,المدارس الابتدائية الحكومية للبنين,0
187,المدارس المتوسطة الخاصة للبنات,0
188,مدارس تحفيظ القرآن المتوسطة للبنين,0
189,المدارس الثانوية الأخرى,0
190,مدارس تحفيظ القرآن المتوسطة للبنات,0
191,المدارس المتوسطة الأخرى,0
192,المعاهد العليا,0
193,المدارس الثانوية الحكومية للبنين,0
194,المدارس الحكومية الشاملة للبنات,0
195,المدارس الثانوية الحكومية للبنات,0
196,المدارس الثانوية الخاصة للبنين,0
197,مدارس التدريب الخاص المهني والفني,0
198,المدارس الثانوية الخاصة للبنات,0
199,مدارس التدريب الخاص الأخرى,0
200,مدارس تحفيظ القرآن الثانوية للبنين,0
201,خدمات الرعاية الاجتماعية,4
202,الجهات الحكومية الأخرى,1
203,المرافق التأديبية والإصلاحية,0
204,الخدمات الحكومية الأخرى,0
205,مكاتب البريد المحلية,0
206,مرافق الخدمات البريدية الأخرى,0
207,الخدمات الأمنية الأخرى,0
208,مكاتب البريد المركزية والرئيسية,0
209,مراكز الدفاع المدني,0
210,مراكز شرطة المرور,0
211,مراكز الشرطة,0
212,المكاتب الأجنبية,0
213,المكاتب الحكومية على مستوى المدنية أو المنطقة,0
214,الوزارات,0
215,الحدائق الإقليمية ذات مساحة أعلى من 2 هكتار,2
216,ملاعب الأطفال,1
217,الأنشطة الترفيهية الأخرى,1
218,صالات الأفراح,1
219,الاستراحات المعدة للإيجار اليومي,0
220,السينما,0
221,حدائق المدن والبلديات الفرعية ذات مساحة 0.5 - 2 هكتار,0
222,الأندية الرياضية الرجالية,0
223,الصالات الرياضية,0
224,مرافق التجمعات العامة الأخرى,0
225,ملاعب الغولف,0
226,صالات الألعاب,0
227,صالات المعارض,0
228,قاعات الاجتماعات,0
229,مرافق التجمعات الرياضية الأخرى,0
230,مضامير السباق,0
231,ملاعب الكرة الطائرة,0
232,المراكز الترفيهية,0
233,ملاعب التنس,0
234,الأندية الرياضية النسائية,0
235,صالات التزلج,0
236,صالات السباحة,0
237,أندية ركوب الخيل,0
238,صالات البولنج,0
239,حدائق الحارات الفرعية ذات مساحة أقل من 0.5 هكتار,0
240,ملاعب كرة السلة,0
241,الحدائق ومناطق الترفيه الخارجية الأخرى,0
242,المرافق الرياضية الأخرى,0
243,الأنشطة الثقافية والترفيهية والترويحية الأخرى,0
244,ميادين كرة القدم الدائمة,0
245,الاستراحات المعدة للاحتفالات,0
246,الإستادات,0
247,تأجير السيارات,2
248,صالات ركاب سكة الحديد,1
249,خدمات المطارات والمهابط الأخرى,0
250,وسائل النقل الأخرى بالسيارة,0
251,صالات المسافرين,0
252,الليموزين,0
253,مرافق الحافلات الأخرى,0
254,محطات النقل داخل المدن وبين المدن,0
255,المرافق الصحية الحكومية الأخرى,1
256,المستوصفات الطبية,1
257,الهلال الأحمر,0
258,المختبرات الطبية الحكومية,0
259,مراكز الرعاية الأولية الحكومية,0
260,عيادات أطباء الأسنان الحكومية,0
261,المستشفيات الحكومية,0
262,عيادات الأطباء الحكومية,0
263,المصحات والاستراحات الخاصة,0
264,المختبرات الخاصة,0
265,المستشفيات الخاصة,0
266,عيادات أطباء الأسنان الخاصة,0
267,عيادات الأطباء الخاصة,0
268,قاعات المناسبات الاجتماعية,1
269,المباني التاريخية,0
270,المرافق الثقافية الأخرى,0
271,حدائق الحيوانات,0
272,المراكز الثقافية,0
273,المتاحف,0
274,المكتبات,0
275,مصانع منتجات اللحوم,1
276,مصانع الذهب والمجوهرات,0
277,مصانع منتجات الألبان,0
278,مصانع الأدوات الصحية والسيراميك والسخانات,0
279,مصانع التكسيات الأخرى,0
280,مصانع منتجات البترول أو التكرير الأخرى,0
281,مصانع المنتجات الزجاجية,0
282,مصانع البوظة,0
283,مصانع الأدوية,0
284,مصانع الحلوى,0
285,مصانع المرطبات,0
286,مصانع المخبوزات,0
287,مطاحن الغلال,0
288,مصانع الفواكه والخضروات المعلبة أو المحفوظة,0
289,مصانع منتجات الطباعة والنشر الأخرى,0
290,مصانع مياه الشرب الصحية,0
291,مصانع منتجات النظافة الشخصية,0
292,مصانع الثلج,0
293,مصانع الكيماويات والأسمدة الزراعية,0
294,مصانع المنتجات الغذائية الأخرى,0
295,مصانع جميع منتجات البلاستيك,0
296,مصانع الأقمشة المنسوجة,0
297,مصانع الطوب الإسمنتي أو الطوب الأحمر,0
298,مصانع السجاد والموكيت,0
299,مصانع المنتجات الخرسانية والجبسية الأخرى,0
300,مصانع منتجات النسيج الأخرى,0
301,مصانع منتجات المعادن الأساسية الأخرى,0
302,مصانع الملابس,0
303,مصانع معدات النقل,0
304,مصانع منتجات الجلود,0
305,مصانع المطابع التجارية,0
306,مصانع دباغة الجلود,0
307,مصانع مواد الطلاء,0
308,مصانع منتجات الملابس الأخرى,0
309,مصانع منتجات النظافة الصناعية والمنزلية,0
310,مصانع المنتجات الخشبية,0
311,مصانع المنتجات الطبية الأخرى,0
312,مصانع الأثاث المنزلي,0
313,مصانع العوازل,0
314,مصانع التجهيزات والتمديدات الكهربائية,0
315,مصانع منتجات البلاستيك المنزلية,0
316,مصانع الأدوات المنزلية الأخرى,0
317,مصانع منتجات الألمنيوم المنزلية,0
318,مصانع أنابيب البلاستيك (التمديدات),0
319,مصانع الإسمنت,0
320,مصانع وحدات التكييف الحائطية,0
321,مصانع البلاط,0
322,مصانع معدات السباكة وتكييف الهواء الأخرى,0
323,مصانع الخرسانة والجبس والجص,0
324,مصانع الورق الأساسي,0
325,مصانع الحجر,0
326,مصانع ألواح وصناديق الورق المقوى,0
327,مصانع القضبان الفولاذية,0
328,مصانع الورق الصحي,0
329,مصانع الألومنيوم,0
330,مصانع منتجات الورق الأخرى,0
331,مصانع المنتجات المعدنية الأخرى,0
332,مصانع الكتب,0
333,مصانع منتجات تشييد المباني,0
334,أبراج الهاتف الجوال,1
335,خدمات وكلاء الشحن,0
336,خدمات النقل الأخرى,0
337,المرافق الأخرى للتخلص من النفايات الصلبة,0
338,المرافق البترولية الأخرى,0
339,التخلص من النفايات,0
340,ساحات السيارات والمعادن الخردة,0
341,محطات معالجة مياه المجاري,0
342,المرافق الأخرى لتصريف مياه المجاري,0
343,محطات معالجة المياه,0
344,مرافق الإذاعة والتلفزيون الأخرى,0
345,محطات الأبراج لإرسال البث,0
346,المرافق الأخرى للهاتف,0
347,إجمالي عدد المطاعم,34
348,إجمالي عدد السوبر ماركت,0
349,إجمالي عدد المقاهي,12
350,إجمالي عدد المساجد,21
351,إجمالي عدد المراكز الصحية,1
352,إجمالي عدد الحدائق,2
353,إجمالي عدد البقالات,17
354,إجمالي عدد الأندية الرياضية,0
355,اجمالي عدد محطات الباص,3
