,business,Count
0,البقالات المحلية,69
1,المشاغل النسائية,48
2,مطاعم الوجبات السريعة,40
3,مطاعم محلية - بوفيه,32
4,الصيدليات,23
5,محلات الستائر وأغطية الأثاث,23
6,محلات الخياطة الرجالية,23
7,محلات أجهزة التسخين والتكييف ومعدات السباكة,22
8,مطاعم المأكولات الشعبية,21
9,المقاهي,19
10,محلات بيع اللحوم والأسماك والطيور الداجنة,18
11,السوبر ماركت,17
12,محلات العطور والبخور,14
13,محلات المنتجات الكهربائية والمواد ذات الصلة,13
14,محلات اكسسوارات وزينة السيارات,13
15,محلات بيع منتجات السباكة والتكييف بالجملة,12
16,محطات البنزين,12
17,محلات بيع الخضروات والفواكه,11
18,محلات الحلويات والشوكولاتة,11
19,المخابز,11
20,محلات العطارة والمحامص والمكسرات,10
21,محلات الهواتف الجوالة,10
22,محلات الأدوات الرياضية,10
23,محلات أجهزة وبرامج الحاسب الآلي,9
24,محلات الخياطة النسائية - عمالة ذكور,9
25,محلات الكتب والقرطاسية واللوازم المكتبية,8
26,محلات الملابس الأخرى,8
27,محلات تغليف الهدايا,8
28,محلات الآيس كريم,8
29,المطاعم ذات الخدمات الشاملة,7
30,محلات النظارات,6
31,محلات الأحذية,6
32,محلات لعب الأطفال,6
33,محلات كل شيء بـ 2، 5، 10 ريال,5
34,محلات البضائع العامة الأخرى,5
35,محلات الأجهزة المنزلية,5
36,محلات المواد الغذائية الأخرى,5
37,محلات لوازم السيارات,5
38,محلات الملابس الرجالية الجاهزة,5
39,مخازن المنوعات,4
40,محلات النجارة,4
41,أفران الخبز البلدي,4
42,محلات أطباق أجهزة الاستقبال الفضائي,3
43,محلات المعدات والمستلزمات المكتبية ما عدا الأثاث المكتبي,3
44,محلات بيع مستلزمات الخياطة,3
45,محلات الأثاث المنزلي,3
46,محلات بيع السيارات ومعداتها بالجملة,3
47,محلات الأثاث والتجهيزات المنزلية الأخرى,2
48,محلات البشوت,2
49,محلات بيع المنتجات الكهربائية بالجملة,2
50,محلات الخزف الصيني والأواني المنزلية,2
51,محلات قطع المفاتيح,2
52,محلات الآلات غير الكهربائية والمعدات ذات الصلة,2
53,الأسواق الصغيرة,2
54,الطواحين,2
55,محلات المعدات الطبية ومعدات طب الأسنان,2
56,محلات بيع العود والعسل,2
57,محلات بيع الأثاث المستعمل,2
58,خدمات السيارات الأخرى,2
59,محلات البيع بالتجزئة الأخرى,2
60,محلات بيع الآلات غير الكهربائية بالجملة,1
61,محلات بيع المنتجات الزراعية الخام بالجملة,1
62,محلات بيع المواد الغذائية والمواد ذات الصلة بالجملة,1
63,محلات الأثاث والتجهيزات الأخرى للبيع بالتجزئة,1
64,محلات الكاميرات ولوازم التصوير,1
65,محلات النجارة والخردوات,1
66,محلات الأواني المنزلية البلاستيكية,1
67,محلات العبايات,1
68,محلات البقالات الأخرى,1
69,المطابخ,1
70,محلات بيع السيارات,1
71,محلات بيع غاز الطبخ,1
72,محلات الملابس النسائية الجاهزة,1
73,محلات نباتات الزينة والزهور,1
74,محلات ملابس الأطفال الجاهزة,1
75,المجمعات التجارية,1
76,محلات الموكيت والسجاد وبلاط الأرضيات,0
77,أنواع أخرى من تجارة الوقود,0
78,محلات بيع الملابس والبضائع الجافة بالجملة,0
79,محلات بيع السلع الأخرى بالجملة,0
80,محلات الخشب المنشور والمواد الخشبية الأخرى,0
81,محلات الساعات,0
82,محلات الأطلية والزجاج وورق الحائط,0
83,محلات بيع الزجاج بالتجزئة,0
84,محلات بيع الأدوية والكيماويات بالجملة,0
85,محلات الراديوهات والتلفزيونات,0
86,محلات المعدات الزراعية,0
87,المطاعم والأنشطة الأخرى ذات الصلة,0
88,محلات بيع مواد البناء والمواد الزراعية الأخرى بالتجزئة,0
89,محلات بيع التحف والأشياء المستعملة,0
90,المتاجر المصنفة,0
91,محلات المعدات الزراعية ومعدات الحدائق,0
92,محلات المجوهرات الأخرى,0
93,محلات الشرائط والاسطوانات الصوتية,0
94,محلات المعدات والآلات الموسيقية,0
95,محلات الأثاث والتجهيزات المكتبية,0
96,محلات الذهب والمجوهرات,0
97,محلات الفضيات,0
98,محلات بيع شرائط الفيديو,0
99,الشقق المفروشة والأجنحة الفندقية,119
100,مؤسسات التجارة والمقاولات,58
101,محلات الحلاقة وصالونات التجميل,54
102,المغاسل وخدمات التنظيف الجاف,53
103,وكالات العقارات والأنشطة ذات الصلة,45
104,مؤسسات التجارة العامة والمقاولات,38
105,أعمال التجارة والمقاولات الأخرى,20
106,مغاسل السيارات,9
107,محلات تغيير الزيوت والتشحيم,9
108,محلات البنشر,7
109,خدمات الصيانة والإصلاح الأخرى,7
110,التخزين في الأماكن المسقوفة,7
111,محلات إصلاح المعدات الكهربائية,6
112,محلات صيانة وإصلاح أجهزة التبريد والتكييف,6
113,الخدمات المهنية الأخرى,4
114,محلات صيانة السيارات - سمكرة وكهرباء وميكانيكا,4
115,وكالات السفر,4
116,استديوهات التصوير,3
117,المكاتب الإدارية العامة,3
118,محلات الخطاطين,3
119,مكاتب التوظيف والاستقدام,3
120,مؤسسات الخدمات الأمنية والحراسات,3
121,أعمال التسقيف والصفائح المعدنية,3
122,البنوك,2
123,أعمال المقاولات المتخصصة الأخرى,2
124,مرافق التخزين الأخرى,2
