,business,Count
0,البقالات المحلية,69
1,مطاعم محلية - بوفيه,36
2,المشاغل النسائية,36
3,محلات الملابس الأخرى,35
4,محلات الخياطة الرجالية,35
5,محلات الحلويات والشوكولاتة,32
6,مطاعم الوجبات السريعة,30
7,محلات الخياطة النسائية - عمالة ذكور,30
8,الصيدليات,21
9,محلات أجهزة التسخين والتكييف ومعدات السباكة,21
10,محلات العطور والبخور,21
11,محلات أجهزة وبرامج الحاسب الآلي,19
12,المقاهي,19
13,الأسواق الصغيرة,18
14,محطات البنزين,18
15,محلات الكتب والقرطاسية واللوازم المكتبية,17
16,محلات الأحذية,16
17,محلات المنتجات الكهربائية والمواد ذات الصلة,15
18,محلات العطارة والمحامص والمكسرات,15
19,المطاعم والأنشطة الأخرى ذات الصلة,14
20,محلات بيع الخضروات والفواكه,14
21,محلات بيع منتجات السباكة والتكييف بالجملة,11
22,محلات النظارات,10
23,محلات تغليف الهدايا,10
24,محلات بيع اللحوم والأسماك والطيور الداجنة,9
25,أفران الخبز البلدي,8
26,محلات الملابس النسائية الجاهزة,8
27,مطاعم المأكولات الشعبية,7
28,محلات بيع مواد البناء والمواد الزراعية الأخرى بالتجزئة,7
29,محلات كل شيء بـ 2، 5، 10 ريال,7
30,محلات الشرائط والاسطوانات الصوتية,7
31,المخابز,7
32,محلات البيع بالتجزئة الأخرى,7
33,محلات الخشب المنشور والمواد الخشبية الأخرى,6
34,محلات البضائع العامة الأخرى,6
35,محلات النجارة,6
36,محلات الآيس كريم,6
37,محلات الملابس الرجالية الجاهزة,6
38,محلات الأثاث والتجهيزات المنزلية الأخرى,5
39,محلات البشوت,5
40,محلات الآلات غير الكهربائية والمعدات ذات الصلة,5
41,محلات الستائر وأغطية الأثاث,5
42,محلات الأدوات الرياضية,5
43,السوبر ماركت,4
44,محلات الهواتف الجوالة,4
45,الطواحين,4
46,المطابخ,4
47,محلات المواد الغذائية الأخرى,4
48,محلات اكسسوارات وزينة السيارات,4
49,محلات الساعات,3
50,محلات الكاميرات ولوازم التصوير,3
51,محلات الراديوهات والتلفزيونات,3
52,محلات العبايات,3
53,محلات المعدات الطبية ومعدات طب الأسنان,3
54,محلات بيع العود والعسل,3
55,محلات ملابس الأطفال الجاهزة,3
56,محلات بيع المنتجات الكهربائية بالجملة,2
57,محلات الأثاث والتجهيزات الأخرى للبيع بالتجزئة,2
58,محلات الأطلية والزجاج وورق الحائط,2
59,محلات الخزف الصيني والأواني المنزلية,2
60,محلات لوازم السيارات,2
61,محلات الذهب والمجوهرات,2
62,محلات الفضيات,2
63,محلات لعب الأطفال,2
64,محلات بيع السيارات ومعداتها بالجملة,2
65,محلات بيع الملابس والبضائع الجافة بالجملة,1
66,محلات أطباق أجهزة الاستقبال الفضائي,1
67,محلات بيع السلع الأخرى بالجملة,1
68,محلات قطع المفاتيح,1
69,محلات المعدات والمستلزمات المكتبية ما عدا الأثاث المكتبي,1
70,محلات بيع التحف والأشياء المستعملة,1
71,محلات بيع مستلزمات الخياطة,1
72,خدمات السيارات الأخرى,1
73,محلات بيع غاز الطبخ,1
74,المجمعات التجارية,1
75,محلات الموكيت والسجاد وبلاط الأرضيات,0
76,أنواع أخرى من تجارة الوقود,0
77,محلات بيع الآلات غير الكهربائية بالجملة,0
78,المطاعم ذات الخدمات الشاملة,0
79,محلات بيع المنتجات الزراعية الخام بالجملة,0
80,محلات بيع المواد الغذائية والمواد ذات الصلة بالجملة,0
81,محلات بيع الزجاج بالتجزئة,0
82,محلات بيع الأدوية والكيماويات بالجملة,0
83,محلات النجارة والخردوات,0
84,محلات المعدات الزراعية,0
85,محلات الأواني المنزلية البلاستيكية,0
86,المتاجر المصنفة,0
87,محلات المعدات الزراعية ومعدات الحدائق,0
88,مخازن المنوعات,0
89,محلات المجوهرات الأخرى,0
90,محلات البقالات الأخرى,0
91,محلات الأثاث المنزلي,0
92,محلات الأجهزة المنزلية,0
93,محلات المعدات والآلات الموسيقية,0
94,محلات الأثاث والتجهيزات المكتبية,0
95,محلات بيع السيارات,0
96,محلات بيع الأثاث المستعمل,0
97,محلات نباتات الزينة والزهور,0
98,محلات بيع شرائط الفيديو,0
99,وكالات العقارات والأنشطة ذات الصلة,54
100,محلات الحلاقة وصالونات التجميل,54
101,المغاسل وخدمات التنظيف الجاف,46
102,أعمال المقاولات المتخصصة الأخرى,42
103,محلات صيانة وإصلاح أجهزة التبريد والتكييف,31
104,مؤسسات التجارة العامة والمقاولات,31
105,محلات صيانة السيارات - سمكرة وكهرباء وميكانيكا,24
106,محلات تغيير الزيوت والتشحيم,20
107,أعمال التجارة والمقاولات الأخرى,17
108,مؤسسات التجارة والمقاولات,14
109,مغاسل السيارات,11
110,الخدمات المالية - تأمين وعقارات أخرى,10
111,خدمات الصيانة والإصلاح الأخرى,10
112,محلات البنشر,9
113,محلات الخطاطين,6
114,محلات طباعة الكروت,6
115,محلات إصلاح التلفزيونات والراديوهات,5
116,البنوك,5
117,محلات مستلزمات الحفلات والرحلات,5
118,وكالات السفر,5
119,استديوهات التصوير,4
120,خدمات إصلاح وصيانة السيارات الأخرى,3
121,مؤسسات ووكالات الإعلان العامة,3
122,خدمات الأعمال الأخرى,3
123,الخدمات الإعلانية والأنشطة ذات الصلة,3
124,محلات إصلاح المعدات الكهربائية,3
125,التخزين في الأماكن المسقوفة,3
126,المكاتب الإدارية للمصانع والشركات الخاصة,3
127,الخدمات الشخصية الأخرى,2
128,المكاتب الإدارية العامة,2
129,محلات نسخ وتصوير المستندات,2
130,التخزين في الأماكن المكشوفة,2
131,المسالخ,1
132,المكاتب الهندسية والمعمارية,1
133,الفنادق,1
134,مكاتب الترجمة,1
135,خدمات النظافة,1
136,خدمات المنازل والعمائر العامة,1
137,مكاتب التوظيف والاستقدام,1
138,الشقق المفروشة والأجنحة الفندقية,0
139,الخدمات المهنية الأخرى,0
140,محلات الصيرفة وسمسرة أسواق النقد,0
141,استراحات المسافرين,0
142,الفلل المفروشة,0
143,ورش تصنيع الأبواب والنوافذ - حديد,0
144,محلات إصلاح الأحذية,0
145,مكاتب الاستشارات الاقتصادية,0
146,محلات تقييف الملابس,0
147,مرافق التخزين الأخرى,0
148,خدمات العملاء وتقارير الأعمال,0
149,ورش تصنيع الأبواب والنوافذ - خشب,0
150,ورش تصنيع الأبواب والنوافذ - ألمونيوم,0
151,خدمات مكافحة الحشرات,0
152,أنواع مختلفة من خدمات المباني,0
153,المكاتب القانونية,0
154,المكاتب المحاسبية,0
155,مؤسسات الخدمات الأمنية والحراسات,0
156,ساحات التخزين,0
157,أعمال التسقيف والصفائح المعدنية,0
158,التخزين المبرد,0
159,المساجد المحلية,43
160,مساجد الجمع,10
161,مصليات العيد,4
162,مناطق الحجاج,0
163,المدارس الابتدائية الحكومية للبنين,8
164,رياض الأطفال والتمهيدي,6
165,المدارس الابتدائية الحكومية للبنات,5
166,المدارس المتوسطة الحكومية للبنين,4
167,مدارس تحفيظ القرآن الابتدائية للبنات,4
168,مدارس تحفيظ القرآن الابتدائية للبنين,3
169,مراكز التعليم المستمر,3
170,مدارس تحفيظ القرآن الثانوية للبنات,2
171,المدارس الابتدائية الخاصة للبنات,2
172,المدارس الابتدائية الخاصة للبنين,2
173,المدارس الخاصة الشاملة للبنات,1
174,المدارس المتوسطة الخاصة للبنين,1
175,المدارس المتوسطة الخاصة للبنات,1
176,مدارس تحفيظ القرآن المتوسطة للبنين,1
177,مدارس تحفيظ القرآن المتوسطة للبنات,1
178,المدارس الثانوية الحكومية للبنين,1
179,المدارس الثانوية الحكومية للبنات,1
180,المدارس الثانوية الخاصة للبنات,1
181,مدارس السفارات والجاليات,0
182,الكليات والجامعات الأخرى,0
183,المدارس الحكومية الشاملة للبنين,0
184,الكليات والجامعات للبنين,0
185,مرافق المعاقين والتعليم الخاص,0
186,المدارس الابتدائية الأخرى,0
187,المدارس المتوسطة الحكومية للبنات,0
188,مدارس التدريب الخاص لقيادة السيارات,0
189,المدارس الخاصة الشاملة للبنين,0
190,المدارس الثانوية الأخرى,0
191,الكليات والجامعات للبنات,0
192,المدارس المتوسطة الأخرى,0
193,المعاهد العليا,0
194,المدارس الحكومية الشاملة للبنات,0
195,المدارس العالمية,0
196,المدارس الثانوية الخاصة للبنين,0
197,مدارس التدريب الخاص المهني والفني,0
198,مدارس التدريب الخاص الأخرى,0
199,مدارس تحفيظ القرآن الثانوية للبنين,0
200,خدمات التعليم الأخرى,0
201,حدائق الحارات الفرعية ذات مساحة أقل من 0.5 هكتار,5
202,صالات الألعاب,2
203,المراكز الترفيهية,2
204,السينما,1
205,حدائق المدن والبلديات الفرعية ذات مساحة 0.5 - 2 هكتار,1
206,الأندية الرياضية الرجالية,1
207,الحدائق ومناطق الترفيه الخارجية الأخرى,1
208,المرافق الرياضية الأخرى,1
209,الأنشطة الثقافية والترفيهية والترويحية الأخرى,1
210,الاستراحات المعدة للإيجار اليومي,0
211,ملاعب الأطفال,0
212,الأنشطة الترفيهية الأخرى,0
213,الصالات الرياضية,0
214,مرافق التجمعات العامة الأخرى,0
215,ملاعب الغولف,0
216,صالات الأفراح,0
217,صالات المعارض,0
218,قاعات الاجتماعات,0
219,مرافق التجمعات الرياضية الأخرى,0
220,مضامير السباق,0
221,ملاعب الكرة الطائرة,0
222,ملاعب التنس,0
223,الأندية الرياضية النسائية,0
224,صالات التزلج,0
225,صالات السباحة,0
226,أندية ركوب الخيل,0
227,الحدائق الإقليمية ذات مساحة أعلى من 2 هكتار,0
228,صالات البولنج,0
229,ملاعب كرة السلة,0
230,ميادين كرة القدم الدائمة,0
231,الاستراحات المعدة للاحتفالات,0
232,الإستادات,0
233,المكاتب الحكومية على مستوى المدنية أو المنطقة,5
234,الخدمات الحكومية الأخرى,3
235,خدمات الرعاية الاجتماعية,2
236,مكاتب البريد المحلية,2
237,مراكز شرطة المرور,1
238,الجهات الحكومية الأخرى,1
239,المرافق التأديبية والإصلاحية,0
240,مرافق الخدمات البريدية الأخرى,0
241,الخدمات الأمنية الأخرى,0
242,مكاتب البريد المركزية والرئيسية,0
243,مراكز الدفاع المدني,0
244,مراكز الشرطة,0
245,المكاتب الأجنبية,0
246,الوزارات,0
247,المستوصفات الطبية,5
248,عيادات أطباء الأسنان الخاصة,3
249,مراكز الرعاية الأولية الحكومية,1
250,المستشفيات الخاصة,1
251,عيادات الأطباء الخاصة,1
252,الهلال الأحمر,0
253,المرافق الصحية الحكومية الأخرى,0
254,المختبرات الطبية الحكومية,0
255,عيادات أطباء الأسنان الحكومية,0
256,المستشفيات الحكومية,0
257,عيادات الأطباء الحكومية,0
258,المصحات والاستراحات الخاصة,0
259,المختبرات الخاصة,0
260,محطات الأبراج لإرسال البث,2
261,خدمات وكلاء الشحن,1
262,خدمات النقل الأخرى,1
263,محطات معالجة المياه,1
264,المرافق الأخرى للهاتف,1
265,أبراج الهاتف الجوال,1
266,المرافق الأخرى للتخلص من النفايات الصلبة,0
267,المرافق البترولية الأخرى,0
268,التخلص من النفايات,0
269,ساحات السيارات والمعادن الخردة,0
270,محطات معالجة مياه المجاري,0
