,business,Count
0,البقالات المحلية,75
1,المشاغل النسائية,43
2,مطاعم محلية - بوفيه,40
3,محلات الخياطة النسائية - عمالة ذكور,35
4,محلات الستائر وأغطية الأثاث,31
5,محلات الخياطة الرجالية,29
6,محلات أجهزة التسخين والتكييف ومعدات السباكة,25
7,محلات بيع مواد البناء والمواد الزراعية الأخرى بالتجزئة,25
8,محلات بيع اللحوم والأسماك والطيور الداجنة,22
9,محلات النجارة,21
10,مطاعم الوجبات السريعة,21
11,محلات أجهزة وبرامج الحاسب الآلي,17
12,المطاعم والأنشطة الأخرى ذات الصلة,15
13,الأسواق الصغيرة,15
14,محطات البنزين,15
15,محلات بيع الخضروات والفواكه,14
16,محلات الكتب والقرطاسية واللوازم المكتبية,13
17,الصيدليات,13
18,محلات الحلويات والشوكولاتة,12
19,المخابز,11
20,محلات المنتجات الكهربائية والمواد ذات الصلة,10
21,أفران الخبز البلدي,10
22,محلات العطارة والمحامص والمكسرات,9
23,محلات الملابس الرجالية الجاهزة,9
24,مطاعم المأكولات الشعبية,8
25,محلات الآلات غير الكهربائية والمعدات ذات الصلة,8
26,محلات البضائع العامة الأخرى,8
27,محلات اكسسوارات وزينة السيارات,8
28,محلات البيع بالتجزئة الأخرى,8
29,محلات الأطلية والزجاج وورق الحائط,7
30,محلات الأدوات الرياضية,7
31,محلات بيع منتجات السباكة والتكييف بالجملة,6
32,محلات النظارات,6
33,محلات تغليف الهدايا,6
34,محلات الأثاث المنزلي,6
35,محلات الهواتف الجوالة,6
36,المقاهي,6
37,محلات العطور والبخور,6
38,محلات لعب الأطفال,5
39,محلات الأثاث والتجهيزات المنزلية الأخرى,4
40,محلات قطع المفاتيح,4
41,السوبر ماركت,4
42,الطواحين,4
43,خدمات السيارات الأخرى,4
44,محلات الأحذية,4
45,محلات الخشب المنشور والمواد الخشبية الأخرى,3
46,محلات الخزف الصيني والأواني المنزلية,3
47,محلات الشرائط والاسطوانات الصوتية,3
48,محلات المواد الغذائية الأخرى,3
49,محلات بيع العود والعسل,3
50,محلات لوازم السيارات,3
51,محلات البشوت,2
52,المطاعم ذات الخدمات الشاملة,2
53,محلات بيع المواد الغذائية والمواد ذات الصلة بالجملة,2
54,محلات كل شيء بـ 2، 5، 10 ريال,2
55,محلات الآيس كريم,2
56,المطابخ,2
57,محلات بيع غاز الطبخ,2
58,أنواع أخرى من تجارة الوقود,1
59,محلات بيع السلع الأخرى بالجملة,1
60,محلات الأثاث والتجهيزات الأخرى للبيع بالتجزئة,1
61,محلات الساعات,1
62,محلات بيع الزجاج بالتجزئة,1
63,محلات الأواني المنزلية البلاستيكية,1
64,المتاجر المصنفة,1
65,محلات البقالات الأخرى,1
66,محلات الأجهزة المنزلية,1
67,محلات المعدات الطبية ومعدات طب الأسنان,1
68,محلات نباتات الزينة والزهور,1
69,محلات الموكيت والسجاد وبلاط الأرضيات,0
70,محلات بيع الآلات غير الكهربائية بالجملة,0
71,محلات بيع المنتجات الكهربائية بالجملة,0
72,محلات بيع المنتجات الزراعية الخام بالجملة,0
73,محلات بيع الملابس والبضائع الجافة بالجملة,0
74,محلات أطباق أجهزة الاستقبال الفضائي,0
75,محلات الكاميرات ولوازم التصوير,0
76,محلات بيع الأدوية والكيماويات بالجملة,0
77,محلات الملابس الأخرى,0
78,محلات النجارة والخردوات,0
79,محلات الراديوهات والتلفزيونات,0
80,محلات المعدات الزراعية,0
81,محلات المعدات والمستلزمات المكتبية ما عدا الأثاث المكتبي,0
82,محلات بيع التحف والأشياء المستعملة,0
83,محلات المعدات الزراعية ومعدات الحدائق,0
84,مخازن المنوعات,0
85,محلات المجوهرات الأخرى,0
86,محلات بيع مستلزمات الخياطة,0
87,محلات العبايات,0
88,محلات المعدات والآلات الموسيقية,0
89,محلات الأثاث والتجهيزات المكتبية,0
90,محلات بيع السيارات,0
91,محلات بيع الأثاث المستعمل,0
92,محلات الذهب والمجوهرات,0
93,محلات الفضيات,0
94,محلات الملابس النسائية الجاهزة,0
95,محلات ملابس الأطفال الجاهزة,0
96,محلات بيع شرائط الفيديو,0
97,المجمعات التجارية,0
98,محلات بيع السيارات ومعداتها بالجملة,0
99,مؤسسات التجارة العامة والمقاولات,84
100,وكالات العقارات والأنشطة ذات الصلة,82
101,محلات الحلاقة وصالونات التجميل,62
102,المغاسل وخدمات التنظيف الجاف,50
103,أعمال المقاولات المتخصصة الأخرى,32
104,محلات تغيير الزيوت والتشحيم,22
105,مغاسل السيارات,17
