الاسم;الحجم
"البقالات المحلية";17
"مطاعم محلية - بوفيه";14
"محلات أجهزة التسخين والتكييف ومعدات السباكة";13
المقاهي;12
"مطاعم الوجبات السريعة";11
"محلات الكتب والقرطاسية واللوازم المكتبية";9
الصيدليات;6
"مطاعم المأكولات الشعبية";6
"محلات بيع الخضروات والفواكه";5
"الأسواق الصغيرة";4
"أفران الخبز البلدي";4
"محطات البنزين";4
"المطاعم ذات الخدمات الشاملة";3
"محلات العطارة والمحامص والمكسرات";3
"محلات الأطلية والزجاج وورق الحائط";2
"محلات الحلويات والشوكولاتة";2
"محلات الهواتف الجوالة";2
"المشاغل النسائية";2
"محلات أجهزة وبرامج الحاسب الآلي";1
"محلات المنتجات الكهربائية والمواد ذات الصلة";1
"محلات كل شيء بـ 2، 5، 10 ريال";1
"محلات بيع اللحوم والأسماك والطيور الداجنة";1
المخابز;1
"محلات لوازم السيارات";1
"محلات اكسسوارات وزينة السيارات";1
"محلات لعب الأطفال";1
"محلات الخياطة الرجالية";1
"محلات البيع بالتجزئة الأخرى";1
"محلات الخياطة النسائية - عمالة ذكور";1
"محلات الموكيت والسجاد وبلاط الأرضيات";0
"محلات الأثاث والتجهيزات المنزلية الأخرى";0
"محلات البشوت";0
"أنواع أخرى من تجارة الوقود";0
"محلات بيع الآلات غير الكهربائية بالجملة";0
"محلات بيع المنتجات الكهربائية بالجملة";0
"محلات بيع منتجات السباكة والتكييف بالجملة";0
"محلات بيع المنتجات الزراعية الخام بالجملة";0
"محلات بيع المواد الغذائية والمواد ذات الصلة بالجملة";0
"محلات بيع الملابس والبضائع الجافة بالجملة";0
"محلات أطباق أجهزة الاستقبال الفضائي";0
"محلات بيع السلع الأخرى بالجملة";0
"محلات الأثاث والتجهيزات الأخرى للبيع بالتجزئة";0
"محلات الخشب المنشور والمواد الخشبية الأخرى";0
"محلات الساعات";0
"محلات الكاميرات ولوازم التصوير";0
"محلات بيع الزجاج بالتجزئة";0
"محلات بيع الأدوية والكيماويات بالجملة";0
"محلات الملابس الأخرى";0
"محلات النجارة والخردوات";0
"محلات الخزف الصيني والأواني المنزلية";0
"محلات قطع المفاتيح";0
"محلات الراديوهات والتلفزيونات";0
"محلات المعدات الزراعية";0
"محلات الأواني المنزلية البلاستيكية";0
"محلات المعدات والمستلزمات المكتبية ما عدا الأثاث المكتبي";0
"محلات الآلات غير الكهربائية والمعدات ذات الصلة";0
"المطاعم والأنشطة الأخرى ذات الصلة";0
"محلات بيع مواد البناء والمواد الزراعية الأخرى بالتجزئة";0
"محلات بيع التحف والأشياء المستعملة";0
"المتاجر المصنفة";0
"محلات المعدات الزراعية ومعدات الحدائق";0
"مخازن المنوعات";0
"محلات المجوهرات الأخرى";0
"محلات الشرائط والاسطوانات الصوتية";0
"محلات البضائع العامة الأخرى";0
"محلات النظارات";0
"محلات تغليف الهدايا";0
"محلات بيع مستلزمات الخياطة";0
"السوبر ماركت";0
"محلات العبايات";0
"محلات البقالات الأخرى";0
"محلات الأثاث المنزلي";0
"محلات الستائر وأغطية الأثاث";0
"محلات النجارة";0
"محلات الأجهزة المنزلية";0
"محلات الآيس كريم";0
"محلات المعدات والآلات الموسيقية";0
"محلات الأثاث والتجهيزات المكتبية";0
الطواحين;0
المطابخ;0
"محلات المواد الغذائية الأخرى";0
"محلات المعدات الطبية ومعدات طب الأسنان";0
"محلات بيع السيارات";0
"محلات بيع العود والعسل";0
"محلات بيع الأثاث المستعمل";0
"محلات الأدوات الرياضية";0
"محلات الذهب والمجوهرات";0
"خدمات السيارات الأخرى";0
"محلات الفضيات";0
"محلات الملابس الرجالية الجاهزة";0
"محلات بيع غاز الطبخ";0
"محلات الملابس النسائية الجاهزة";0
"محلات نباتات الزينة والزهور";0
"محلات ملابس الأطفال الجاهزة";0
