,business,Count
0,المقاهي,40
1,مطاعم الوجبات السريعة,29
2,مطاعم محلية - بوفيه,19
3,البقالات المحلية,17
4,المطاعم ذات الخدمات الشاملة,14
5,محلات أجهزة التسخين والتكييف ومعدات السباكة,14
6,محلات بيع مواد البناء والمواد الزراعية الأخرى بالتجزئة,11
7,المطاعم والأنشطة الأخرى ذات الصلة,10
8,الأسواق الصغيرة,10
9,محلات الأطلية والزجاج وورق الحائط,9
10,محلات بيع الخضروات والفواكه,9
11,مطاعم المأكولات الشعبية,8
12,محلات الموكيت والسجاد وبلاط الأرضيات,7
13,الصيدليات,7
14,محلات المنتجات الكهربائية والمواد ذات الصلة,7
15,السوبر ماركت,7
16,المجمعات التجارية,6
17,محلات أجهزة وبرامج الحاسب الآلي,5
18,محلات بيع منتجات السباكة والتكييف بالجملة,5
19,المخابز,5
20,أفران الخبز البلدي,5
21,محطات البنزين,5
22,محلات بيع الآلات غير الكهربائية بالجملة,4
23,المشاغل النسائية,4
24,محلات النظارات,3
25,محلات الأثاث المنزلي,3
26,محلات بيع اللحوم والأسماك والطيور الداجنة,3
27,محلات الملابس الرجالية الجاهزة,3
28,محلات الأثاث والتجهيزات المنزلية الأخرى,2
29,محلات الكتب والقرطاسية واللوازم المكتبية,2
30,محلات أطباق أجهزة الاستقبال الفضائي,2
31,المتاجر المصنفة,2
32,محلات الأجهزة المنزلية,2
33,محلات العطارة والمحامص والمكسرات,2
34,محلات الهواتف الجوالة,2
35,محلات الأدوات الرياضية,2
36,محلات اكسسوارات وزينة السيارات,2
37,محلات بيع المنتجات الكهربائية بالجملة,1
38,محلات بيع السلع الأخرى بالجملة,1
39,محلات الأثاث والتجهيزات الأخرى للبيع بالتجزئة,1
40,محلات الملابس الأخرى,1
41,محلات الخزف الصيني والأواني المنزلية,1
42,محلات الستائر وأغطية الأثاث,1
43,محلات الآيس كريم,1
44,محلات المعدات والآلات الموسيقية,1
45,محلات بيع العود والعسل,1
46,محلات لوازم السيارات,1
47,محلات بيع غاز الطبخ,1
48,محلات نباتات الزينة والزهور,1
49,محلات العطور والبخور,1
50,محلات الخياطة الرجالية,1
51,محلات البيع بالتجزئة الأخرى,1
52,محلات البشوت,0
53,أنواع أخرى من تجارة الوقود,0
54,محلات بيع المنتجات الزراعية الخام بالجملة,0
55,محلات بيع المواد الغذائية والمواد ذات الصلة بالجملة,0
56,محلات بيع الملابس والبضائع الجافة بالجملة,0
57,محلات الخشب المنشور والمواد الخشبية الأخرى,0
58,محلات الساعات,0
59,محلات الكاميرات ولوازم التصوير,0
60,محلات بيع الزجاج بالتجزئة,0
61,محلات بيع الأدوية والكيماويات بالجملة,0
62,محلات النجارة والخردوات,0
63,محلات قطع المفاتيح,0
64,محلات الراديوهات والتلفزيونات,0
65,محلات المعدات الزراعية,0
66,محلات الأواني المنزلية البلاستيكية,0
67,محلات المعدات والمستلزمات المكتبية ما عدا الأثاث المكتبي,0
68,محلات الآلات غير الكهربائية والمعدات ذات الصلة,0
69,محلات بيع التحف والأشياء المستعملة,0
70,محلات المعدات الزراعية ومعدات الحدائق,0
71,مخازن المنوعات,0
72,محلات المجوهرات الأخرى,0
73,محلات كل شيء بـ 2، 5، 10 ريال,0
74,محلات الشرائط والاسطوانات الصوتية,0
75,محلات البضائع العامة الأخرى,0
76,محلات تغليف الهدايا,0
77,محلات بيع مستلزمات الخياطة,0
78,محلات العبايات,0
79,محلات البقالات الأخرى,0
80,محلات النجارة,0
81,محلات الحلويات والشوكولاتة,0
82,محلات الأثاث والتجهيزات المكتبية,0
83,الطواحين,0
84,المطابخ,0
85,محلات المواد الغذائية الأخرى,0
86,محلات المعدات الطبية ومعدات طب الأسنان,0
87,محلات بيع السيارات,0
88,محلات بيع الأثاث المستعمل,0
89,محلات الذهب والمجوهرات,0
90,خدمات السيارات الأخرى,0
91,محلات الفضيات,0
92,محلات الملابس النسائية الجاهزة,0
93,محلات ملابس الأطفال الجاهزة,0
94,محلات بيع شرائط الفيديو,0
95,محلات الأحذية,0
96,محلات لعب الأطفال,0
97,محلات الخياطة النسائية - عمالة ذكور,0
98,محلات بيع السيارات ومعداتها بالجملة,0
99,وكالات العقارات والأنشطة ذات الصلة,29
100,مؤسسات التجارة والمقاولات,24
101,المغاسل وخدمات التنظيف الجاف,18
102,التخزين في الأماكن المكشوفة,14
103,مؤسسات التجارة العامة والمقاولات,10
104,الخدمات المهنية الأخرى,9
105,أعمال المقاولات المتخصصة الأخرى,8
106,محلات صيانة وإصلاح أجهزة التبريد والتكييف,8
107,أعمال التجارة والمقاولات الأخرى,7
108,المكاتب الإدارية للمصانع والشركات الخاصة,7
109,الخدمات المالية - تأمين وعقارات أخرى,6
110,محلات الحلاقة وصالونات التجميل,6
111,المكاتب القانونية,6
112,الشقق المفروشة والأجنحة الفندقية,5
113,المكاتب الهندسية والمعمارية,5
114,مغاسل السيارات,5
115,الفنادق,4
116,محلات صيانة السيارات - سمكرة وكهرباء وميكانيكا,4
117,محلات تغيير الزيوت والتشحيم,4
118,أعمال التسقيف والصفائح المعدنية,4
119,محلات البنشر,3
120,خدمات الأعمال الأخرى,3
121,ورش تصنيع الأبواب والنوافذ - ألمونيوم,3
122,التخزين في الأماكن المسقوفة,3
123,محلات نسخ وتصوير المستندات,2
124,وكالات السفر,2
125,البنوك,1
126,محلات مستلزمات الحفلات والرحلات,1
127,مرافق التخزين الأخرى,1
128,الخدمات الإعلانية والأنشطة ذات الصلة,1
129,المسالخ,0
130,محلات إصلاح التلفزيونات والراديوهات,0
131,محلات الصيرفة وسمسرة أسواق النقد,0
132,استراحات المسافرين,0
133,الفلل المفروشة,0
134,مكاتب الترجمة,0
135,استديوهات التصوير,0
136,خدمات إصلاح وصيانة السيارات الأخرى,0
137,ورش تصنيع الأبواب والنوافذ - حديد,0
138,خدمات الصيانة والإصلاح الأخرى,0
139,محلات إصلاح الأحذية,0
140,مكاتب الاستشارات الاقتصادية,0
141,محلات تقييف الملابس,0
142,الخدمات الشخصية الأخرى,0
143,المكاتب الإدارية العامة,0
144,محلات الخطاطين,0
145,مؤسسات ووكالات الإعلان العامة,0
146,خدمات العملاء وتقارير الأعمال,0
147,محلات إصلاح المعدات الكهربائية,0
148,محلات طباعة الكروت,0
149,ورش تصنيع الأبواب والنوافذ - خشب,0
150,خدمات النظافة,0
151,خدمات مكافحة الحشرات,0
152,أنواع مختلفة من خدمات المباني,0
153,خدمات المنازل والعمائر العامة,0
154,المكاتب المحاسبية,0
155,مكاتب التوظيف والاستقدام,0
156,مؤسسات الخدمات الأمنية والحراسات,0
157,ساحات التخزين,0
158,التخزين المبرد,0
159,المساجد المحلية,42
160,مساجد الجمع,18
161,مناطق الحجاج,0
162,مصليات العيد,0
163,الاستراحات المعدة للإيجار اليومي,20
164,صالات الألعاب,3
165,الأندية الرياضية النسائية,3
166,حدائق الحارات الفرعية ذات مساحة أقل من 0.5 هكتار,3
167,الاستراحات المعدة للاحتفالات,3
168,حدائق المدن والبلديات الفرعية ذات مساحة 0.5 - 2 هكتار,2
169,الأندية الرياضية الرجالية,2
170,السينما,1
171,الصالات الرياضية,1
172,الحدائق الإقليمية ذات مساحة أعلى من 2 هكتار,1
173,ملاعب كرة السلة,1
174,المرافق الرياضية الأخرى,1
175,ميادين كرة القدم الدائمة,1
176,ملاعب الأطفال,0
177,الأنشطة الترفيهية الأخرى,0
178,مرافق التجمعات العامة الأخرى,0
179,ملاعب الغولف,0
180,صالات الأفراح,0
